ISSN,Título,Área de Avaliação,Estrato
0100-1655,ALTER: REVISTA DE ESTUDOS PSICANALÍTICOS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1390-325X,"ALTERIDAD: REVISTA DE CIENCIAS HUMANAS, SOCIALES Y EDUCACIÓN","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2007-5251,ALTERNATIVAS EN PSICOLOGÍA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2318-4817,ALTUS CIÊNCIAS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2322-6307,AMAZONIA INVESTIGA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
1984-6215,AMAZÔNICA: REVISTA DE ANTROPOLOGIA (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1517-3127,AMAZÔNIDA (UFAM),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2175-9405,AMBIÊNCIA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2238-5533,AMBIENTE & EDUCAÇÃO: REVISTA DE EDUCAÇÃO AMBIENTAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1809-4422,AMBIENTE & SOCIEDADE (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1678-8621,AMBIENTE CONSTRUÍDO (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1414-753X,AMBIENTE E SOCIEDADE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2674-6816,AMBIENTES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1988-5733,ÁMBITOS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1139-1979,AMBITOS - REVISTA INTERNACIONAL DE COMUNICACIÓN,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1130-2887,AMÉRICA LATINA HOY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2694-4332,AMERICAN JOURNAL OF AGING SCIENCE AND RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2320-0847,AMERICAN JOURNAL OF ENGINEERING RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
2328-5699,AMERICAN JOURNAL OF ENVIRONMENTAL PROTECTION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
0002-9262,AMERICAN JOURNAL OF EPIDEMIOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0890-1171,AMERICAN JOURNAL OF HEALTH PROMOTION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1552-4833,AMERICAN JOURNAL OF MEDICAL GENETICS - PART A,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2589-9333,AMERICAN JOURNAL OF OBSTETRICS & GYNECOLOGY MFM,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1476-1645,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGINE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0003-0481,AMERICAN PHILOSOPHICAL QUARTERLY (OXFORD),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2379-1047,AMERICAN RESEARCH JOURNAL OF BUSINESS AND MANAGEMENT (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
0275-0740,AMERICAN REVIEW OF PUBLIC ADMINISTRATION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2313-4410,"AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
2313-4402,"AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES (ASRJETS)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
0939-4451,AMINO ACIDS (WIEN. PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1869-8182,AMS REVIEW,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1692-2522,ANAGRAMAS RUMBOS Y SENTIDOS DE LA COMUNICACION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2238-2925,ANAIS BRASILEIROS DE ESTUDOS TURÍSTICOS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
0001-3765,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1678-2690,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1138-3399,ANALES DE BIOLOGIA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1809-8924,ANÁLISE DE CONJUNTURA OPSA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
0102-9924,ANÁLISE ECONÔMICA (UFRGS),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
0003-2573,ANÁLISE SOCIAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2182-2999,ANÁLISE SOCIAL - REVISTA DO INSTITUTO DE CIÊNCIAS SOCIAIS DA UNIVERSIDADE DE LISBOA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2156-6909,ANATOLIA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0354-5415,ANDRAGOGICAL STUDIES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1439-0272,ANDROLOGIA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2526-1940,ANIMA TERRA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1984-3143,ANIMAL REPRODUCTION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2076-2615,ANIMALS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2175-4977,ANIMUS: REVISTA INTERAMERICANA DE COMUNICAÇÃO MIDIÁTICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1677-907X,ANIMUS (SANTA MARIA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1370-4788,"ANNALES DE L'ÉCONOMIE PUBLIQUE, SOCIALE ET COOPÉRATIVE (ED. MULTILINGUE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2691-5774,ANNALS OF BIOETHICS & CLINICAL APPLICATIONS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2198-5812,ANNALS OF DATA SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1614-2446,ANNALS OF FINANCE (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2010-4960,ANNALS OF FINANCIAL ECONOMICS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2159-6816,ANNALS OF LEISURE RESEARCH (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0254-5330,ANNALS OF OPERATION RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1572-9338,ANNALS OF OPERATIONS RESEARCH (DORDRECHT. ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1467-8292,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2475-1812,ANNALS OF SCIENCE AND TECHNOLOGY POLICY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2380-8985,ANNALS OF THE INTERNATIONAL COMMUNICATION ASSOCIATION (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0160-7383,ANNALS OF TOURISM RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1755-2923,ANTHROPOLOGICAL JOURNAL OF EUROPEAN CULTURES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1982-3908,ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
0101-9759,ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1696-7348,APOSTA: REVISTA DE CIENCIAS SOCIALES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0195-6663,APPETITE (LONDON. PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0168-1591,APPLIED ANIMAL BEHAVIOUR SCIENCE (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0273-2289,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
0169-1317,APPLIED CLAY SCIENCE (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1466-4291,APPLIED ECONOMIC LETTERS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2040-5790,APPLIED ECONOMIC PERSPECTIVES AND POLICY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2332-7294,APPLIED ECONOMICS AND FINANCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1350-4851,APPLIED ECONOMICS LETTERS (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1466-4283,APPLIED ECONOMICS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0003-6846,APPLIED ECONOMICS (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0306-2619,APPLIED ENERGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0143-6228,APPLIED GEOGRAPHY (SEVENOAKS),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0175-7598,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1432-0614,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2364-8228,APPLIED NETWORK SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0269-994X,APPLIED PSYCHOLOGY (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0969-8043,APPLIED RADIATION AND ISOTOPES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2076-3417,APPLIED SCIENCES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1568-4946,APPLIED SOFT COMPUTING (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1874-463X,APPLIED SPATIAL ANALYSIS AND POLICY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1526-4025,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1524-1904,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2571-5577,APPLIED SYSTEM INNOVATION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1359-4311,APPLIED THERMAL ENGINEERING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2448-3524,APPLIED TOURISM,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2596-3317,APS EM REVISTA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2709-8028,"AQUA  WATER INFRASTRUCTURE, ECOSYSTEMS AND SOCIETY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
0044-8486,AQUACULTURE (AMSTERDAM),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0166-445X,AQUATIC TOXICOLOGY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1414-8846,AQUILA (RIO DE JANEIRO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1866-7511,ARABIAN JOURNAL OF GEOSCIENCES (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2358-2472,ARACÊ - DIREITOS HUMANOS EM REVISTA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2658-1264,ARCHEION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2318-6186,ARCHEION ONLINE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2673-8945,ARCHITECTURE (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",C
1389-0166,ARCHIVAL SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2972-4325,ARCHIVES OF ADVANCED ENGINEERING SCIENCE (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
0365-0340,ARCHIVES OF AGRONOMY AND SOIL SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2054-7404,ARCHIVES OF BUSINESS RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2950-3078,ARCHIVES OF GERONTOLOGY AND GERIATRICS PLUS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
2675-4711,ARCHIVES OF HEALTH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1543-2165,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE (NORTHFIELD),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0004-0002,ARCHIVES OF SEXUAL BEHAVIOR,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1517-784X,ARCHIVES OF VETERINARY SCIENCE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1068-2341,ARCHIVOS ANALÍTICOS DE POLÍTICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1578-0007,AR@CNE (BARCELONA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1984-5596,ARCOS DESIGN (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2379-2957,AREA DEVELOPMENT AND POLICY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2317-8442,AREL FAAR - AMAZON'S RESEARCH AND ENVIRONMENTAL LAW,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1676-2800,ARGUMENTA (FUNDINOPI),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1233-5835,ARGUMENTA OECONOMICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2527-2551,ARGUMENTOS- REVISTA DO DEPARTAMENTO DE CIÊNCIAS SOCIAIS DA UNIMONTES,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
1806-5627,ARGUMENTOS (UNIMONTES),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2176-9575,ARGUMENTUM (VITÓRIA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
0095-327X,ARMED FORCES AND SOCIETY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1982-9930,ARQUITETURISMO (SÃO PAULO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1809-6298,ARQUITEXTOS (SÃO PAULO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1678-4162,ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2317-918X,ARQUIVO JURÍDICO – REVISTA JURÍDICA ELETRÔNICA DA UNIVERSIDADE FEDERAL DO PIAUÍ,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1678-4170,ARQUIVOS BRASILEIROS DE CARDIOLOGIA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0066-782X,ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
0004-2749,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1809-5267,ARQUIVOS BRASILEIROS DE PSICOLOGIA (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1982-114X,ARQUIVOS DE CIÊNCIAS DA SAÚDE DA UNIPAR,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
0374-5686,ARQUIVOS DE CIÊNCIAS DO MAR,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
0004-282X,ARQUIVOS DE NEURO-PSIQUIATRIA (IMPRESSO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2
2318-5422,ARQUIVOS DO CMD,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
2357-9978,ART RESEARCH JOURNAL,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
1984-3852,ARTEFACTUM (RIO DE JANEIRO),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1872-8847,ARTHROPOD-PLANT INTERACTIONS (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
2374-4979,ARTIFICIAL INTELLIGENCE AND APPLICATIONS,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
2674-8061,ARTIGOS GIFE,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B4
1415-7950,ASAS DA PALAVRA (UNAMA),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B1
0974-8512,ASBM JOURNAL OF MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1360-2381,ASIA PACIFIC BUSINESS REVIEW,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1440-6047,ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A3
1833-3818,ASIA PACIFIC JOURNAL OF HEALTH MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
0217-4561,ASIA PACIFIC JOURNAL OF MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1094-1665,ASIA PACIFIC JOURNAL OF TOURISM RESEARCH (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1472-4782,ASIAN BUSINESS & MANAGEMENT,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
2443-4175,ASIAN JOURNAL OF ACCOUNTING RESEARCH,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A2
2615-9821,ASIAN JOURNAL OF ECONOMICS AND BANKING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
2582-340X,ASIAN JOURNAL OF ECONOMICS AND FINANCE (ONLINE),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3
1876-2018,ASIAN JOURNAL OF PSYCHIATRY,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1367-2223,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY (PRINT),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A4
1321-7348,ASIAN REVIEW OF ACCOUNTING,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
1757-4323,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1
